Token,Token Name,Type,Volume,Change (%),Sales,Min Price (24h),Max Price (24H),Transfers,Owners,Total Assets
"0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D","BoredApeYachtClub","ERC-721","3,861.1953 ETH","-19.89","199","12.9008 ETH","18 ETH","272,135","5,309","10,000"
"0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270","Art Blocks","ERC-721","2,353.0092 ETH","2066.67","869","0.0000 ETH","5.5 ETH","589,286","38,093","197,720"
"0xBd3531dA5CF5857e7CfAA92426877b022e612cf8","PudgyPenguins","ERC-721","2,185.6823 ETH","-46.30","138","10.2273 ETH","11.2511 ETH","141,237","4,508","8,888"
"0x60E4d786628Fea6478F785A6d7e704777c86a7c6","MutantApeYachtClub","ERC-721","2,035.8133 ETH","-33.68","622","0.0000 ETH","3.25 ETH","392,521","11,276","19,490"
"0x5946aeAAB44e65Eb370FFaa6a7EF2218Cff9b47D","Creepz by OVERLORD","ERC-721","1,828.4457 ETH","0.95","441","2.775 ETH","2.775 ETH","28,632","2,556","0"
"0x0BaECcD651cf4692A8790BCC4f606E79bF7A3B1c","Peplicator","ERC-721","1,655.1002 ETH","10.00","8752","0.0138 ETH","1 ETH","60,432","4,141","22,065"
"0x524cAB2ec69124574082676e6F654a18df49A048","LilPudgys","ERC-721","1,229.7299 ETH","-58.61","824","0.7831 ETH","1.855 ETH","196,455","7,961","21,625"
"0x23581767a106ae21c074b2276D25e5C3e136a68b","Moonbirds","ERC-721","1,187.7183 ETH","-85.00","697","0.0000 ETH","0.88 ETH","110,766","5,629","10,000"
"0x059EDD72Cd353dF5106D2B9cC5ab83a52287aC3a","Art Blocks","ERC-721","1,107.5908 ETH","-27.54","171","5 ETH","5.99 ETH","39,670","2,981","11,010"
"0x5C1A0CC6DAdf4d0fB31425461df35Ba80fCBc110","Farm Land by Pixels","ERC-721","909.0648 ETH","-24.88","501","1.195 ETH","3.9 ETH","36,199","2,013","5,000"
"0x5Af0D9827E0c53E4799BB226655A1de152A425a5","Milady","ERC-721","799.8448 ETH","63.64","192","N/A","N/A","121,668","3,487","10,000"
"0x769272677faB02575E84945F03Eca517ACc544Cc","Captainz","ERC-721","760.8045 ETH","7.65","141","N/A","N/A","57,530","3,877","9,999"
"0x364C828eE171616a39897688A831c2499aD972ec","Sappy Seals","ERC-721","735.3441 ETH","4.46","577","0.6991 ETH","0.82 ETH","144,874","1,572","10,000"
"0xbAbaFdd8045740449a42B788a26E9b3A32F88aC1","Persona","ERC-721","677.282 ETH","-43.81","1509","0.299 ETH","0.3188 ETH","26,418","3,895","0"
"0xaCF63E56fd08970b43401492a02F6F38B6635C91","Kanpai Pandas","ERC-721","666.3918 ETH","6.96","195","2.3724 ETH","2.699 ETH","51,171","3,003","0"
"0x495f947276749Ce646f68AC8c248420045cb7b5e","OpenSea Shared Storefront","ERC-1155","568.3067 ETH","-55.56","1735","0.0000 ETH","0.6 ETH","3,887,112","731,178","0"
"0x32973908FaeE0Bf825A343000fE412ebE56F802A","Pixelmon","ERC-721","563.0574 ETH","6.18","266","1.33 ETH","2.5 ETH","88,758","2,701","12,566"
"0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B","CloneX","ERC-721","540.9651 ETH","-56.16","449","0.53 ETH","15 ETH","175,497","9,529","19,593"
"0xFdF5aCd92840E796955736B1BB9CC832740744Ba","OVERWORLD INCARNA","ERC-721","522.041 ETH","-7.63","429","1.04 ETH","2.6 ETH","15,831","1,868","0"
"0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e","Doodles","ERC-721","511.9956 ETH","-32.61","216","1.5001 ETH","2.379 ETH","136,820","5,451","10,000"
"0x7b463415D67B013D5F1106fd3df048973BC214Dd","Sheboshis","ERC-721","476.4271 ETH","40.23","5240","N/A","N/A","129,871","1,915","17,602"
"0x09233d553058c2F42ba751C87816a8E9FaE7Ef10","My Pet Hooligan","ERC-721","469.6007 ETH","20.59","384","0.928 ETH","1.49 ETH","49,049","3,660","8,888"
"0xED5AF388653567Af2F388E6224dC7C4b3241C544","Azuki","ERC-721","411.2696 ETH","-56.67","80","3.9 ETH","3.9 ETH","206,047","4,141","10,000"
"0x0Fc3DD8C37880a297166BEd57759974A157f0E74","Parallel Avatars","ERC-721","395.1495 ETH","71.13","371","0.88 ETH","2 ETH","30,880","2,301","11,001"
"0x0581dDf7A136c6837429a46C6Cb7b388A3E52971","BlockGames Dice","ERC-721","387.6356 ETH","162.98","558","0.77 ETH","1.21 ETH","40,879","1,898","5,555"
"0x99a9B7c1116f9ceEB1652de04d5969CcE509B069","Art Blocks","ERC-721","372.9618 ETH","-100.00","719","0.0000 ETH","0.79 ETH","66,351","7,388","0"
"0x7dBC433C92266ab268Ae1040837A212b77Fec393","The Buns","ERC-721","355.4588 ETH","310.26","3001","0.053 ETH","0.25 ETH","12,761","1,103","4,444"
"0x4a537F61ef574153664c0Dbc8c8F4B900cacBE5d","Mavia Land","ERC-721","339.9236 ETH","-79.07","485","0.2392 ETH","1.2702 ETH","35,416","2,630","0"
"0x67B630e70E793d48F1329c00Cad9D60977605dF5","GAIMIN Genesis","ERC-1155","319.7666 ETH","97.02","651","0.3 ETH","0.75 ETH","2,875","654","0"
"0x1D20A51F088492A0f1C57f047A9e30c9aB5C07Ea","loomlocknft","ERC-721","309.9898 ETH","-47.90","246","0.6025 ETH","0.8799 ETH","43,706","2,899","9,644"
"0xa28d6A8EB65A41f3958f1DE62CBfcA20B817E66a","Nobody","ERC-721","308.0646 ETH","-76.38","732","0.14 ETH","0.201 ETH","41,716","3,749","10,000"
"0xe5863D4a57b1E2D7031F7969fEE4F56Bb04C0f17","The Crop Collective","ERC-721","300 ETH","-63.64","2","N/A","N/A","519","95","368"
"0x8821BeE2ba0dF28761AffF119D66390D594CD280","DeGods","ERC-721","296.7778 ETH","-50.09","149","1.2926 ETH","2.55 ETH","133,771","3,013","0"
"0x76603b2Dc8E75fD3411935169AC30f6b3387B7A2","CHuBBiT Official Collection","ERC-721","283.0052 ETH","-25.00","178","0.87 ETH","14.65 ETH","2,295","235","2,000"
"0xD3D9ddd0CF0A5F0BFB8f7fcEAe075DF687eAEBaB","TEST NFT","ERC-721","282.3851 ETH","40.91","235","0.8018 ETH","0.9 ETH","92,292","2,528","10,000"
"0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7","Meebits","ERC-721","277.6842 ETH","-32.03","194","0.7562 ETH","0.7562 ETH","116,797","6,493","20,000"
"0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","Otherdeed","ERC-721","256.4952 ETH","-57.57","405","0.1732 ETH","3.3 ETH","545,386","15,260","100,000"
"0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB","VeeFriends","ERC-721","250.4345 ETH","-30.25","175","0.8561 ETH","2 ETH","34,154","4,963","10,255"
"0x39ee2c7b3cb80254225884ca001F57118C8f21B6","Potatoz","ERC-721","245.0712 ETH","1.12","121","N/A","N/A","77,407","2,574","9,999"
"0x57a204AA1042f6E66DD7730813f4024114d74f37","CyberKongz","ERC-721","241.4665 ETH","-93.96","65","0.8 ETH","0.9 ETH","39,387","2,124","5,000"
"0xB9951B43802dCF3ef5b14567cb17adF367ed1c0F","Neo Tokyo Citizen V2","ERC-721","239.0226 ETH","-14.46","17","11 ETH","11 ETH","5,865","360","1,985"
"0x9CF0aB1cc434dB83097B7E9c831a764481DEc747","alignDRAW","ERC-721","237.275 ETH","1709.09","306","N/A","N/A","8,568","510","2,709"
"0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA","Imaginary Ones","ERC-721","232.841 ETH","18.18","185","1.0487 ETH","1.3 ETH","53,194","1,138","8,888"
"0x6Fd8e343c107a24Bd6b8aC19B56d9AeB967C0131","RGBytes","ERC-721","231.5145 ETH","-39.71","955","0.211 ETH","0.22 ETH","7,942","1,832","4,999"
"0x59325733eb952a92e069C87F0A6168b29E80627f","Mocaverse","ERC-721","220.4857 ETH","-19.48","62","3.1 ETH","4.5 ETH","26,756","2,103","8,888"
"0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85","Ethereum Name Service","ERC-721","211.6525 ETH","163.16","1031","0.0004 ETH","6.1 ETH","7,500,319","714,658","0"
"0xbB3f21dD9B16741E9822392F753D07Da4C6b6CD6","Seraph Soul Series","ERC-721","210.772 ETH","66.67","282","0.9 ETH","0.9 ETH","8,174","1,550","6,000"
"0xA3F5998047579334607c47a6a2889BF87A17Fc02","Wrapped Ether Rock","ERC-721","209 ETH","0.00","1","N/A","N/A","78","13","13"
"0x6811f2f20c42f42656A3c8623aD5e9461b83f719","ParallelPlanetfall","ERC-1155","201.0809 ETH","-86.52","484","0.024 ETH","0.31 ETH","98,047","1,865","0"
"0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83","KaijuKingz","ERC-721","198.0426 ETH","29000000.00","466","0.2 ETH","0.773 ETH","72,514","3,333","9,999"